Gene			mutation freqency in human	# of mutation in dog
MDN1	5	109	0.04587156	14
UBR5	3	109	0.027522936	13
DST	2	109	0.018348624	13
SYNE2	13	109	0.119266055	12
VPS13B	7	109	0.064220183	11
FRYL	1	109	0.009174312	11
C7orf49	1	109	0.009174312	11
PPP2R3A	1	109	0.009174312	9
LRP2	7	109	0.064220183	9
DNAH6	3	109	0.027522936	9
HRNR	1	109	0.009174312	9
HMCN1	10	109	0.091743119	8
ASH1L	2	109	0.018348624	8
XRN1	1	109	0.009174312	8
FSIP2	2	109	0.018348624	7
XIRP2	9	109	0.082568807	7
ESYT2	1	109	0.009174312	7
BIRC6	1	109	0.009174312	7
MSTO1	1	109	0.009174312	7
LRPPRC	3	109	0.027522936	7
PHIP	1	109	0.009174312	7
MACF1	5	109	0.04587156	7
SYNE1	11	109	0.100917431	7
MECOM	1	109	0.009174312	6
VPS13A	2	109	0.018348624	6
FAM91A1	1	109	0.009174312	6
ACAT1	1	109	0.009174312	6
SHPRH	5	109	0.04587156	6
LRP1B	4	109	0.036697248	6
UTP20	3	109	0.027522936	6
C5orf42	1	109	0.009174312	6
BAZ2B	2	109	0.018348624	6
SCN1A	1	109	0.009174312	6
INADL	1	109	0.009174312	6
RANBP2	4	109	0.036697248	6
USP34	5	109	0.04587156	6
EPG5	3	109	0.027522936	6
DOPEY1	3	109	0.027522936	6
MYH8	2	109	0.018348624	6
UGGT2	2	109	0.018348624	6
IBTK	1	109	0.009174312	6
TTC3	4	109	0.036697248	5
MTNR1A	2	109	0.018348624	5
PRKAA1	4	109	0.036697248	5
FAM208A	3	109	0.027522936	5
SECISBP2L	1	109	0.009174312	5
ADCY10	1	109	0.009174312	5
MET	4	160	0.025	5
F5	3	109	0.027522936	5
IGSF10	2	109	0.018348624	5
TAF2	1	109	0.009174312	5
TPM1	1	109	0.009174312	5
ZNF638	3	109	0.027522936	5
ANKRD17	4	109	0.036697248	5
MYH15	1	109	0.009174312	5
DMXL1	2	109	0.018348624	5
KMT2A	9	109	0.082568807	5
MYCBP2	2	109	0.018348624	5
DLC1	2	109	0.018348624	5
TEX15	4	109	0.036697248	5
COL12A1	4	109	0.036697248	5
ATP8A1	3	109	0.027522936	5
BRAF	10	464	0.021551724	5
JMJD1C	2	109	0.018348624	5
FLT1	2	109	0.018348624	5
CDH2	1	109	0.009174312	5
XRN2	1	109	0.009174312	5
ATP2C1	2	109	0.018348624	5
MYO3B	1	109	0.009174312	4
WIPF2	1	109	0.009174312	4
CDK13	1	109	0.009174312	4
CSMD3	9	109	0.082568807	4
SMOC1	1	109	0.009174312	4
TLR8	1	109	0.009174312	4
TM9SF2	2	109	0.018348624	4
CLPX	1	109	0.009174312	4
TTLL7	1	109	0.009174312	4
NPHP1	1	109	0.009174312	4
RAPGEF2	1	109	0.009174312	4
PDE3B	1	109	0.009174312	4
SCN3A	1	109	0.009174312	4
RPTN	1	109	0.009174312	4
PIK3C2A	1	109	0.009174312	4
DOCK7	2	109	0.018348624	4
EPHA5	1	109	0.009174312	4
KDM6A	46	144	0.319444444	4
COL9A1	3	109	0.027522936	4
MYOF	2	109	0.018348624	4
ITGB6	2	109	0.018348624	4
MED13	2	109	0.018348624	4
KMT2C	6	109	0.055045872	4
TCHHL1	2	109	0.018348624	4
LRRK2	4	109	0.036697248	4
ARHGAP18	1	109	0.009174312	4
TRIP11	3	109	0.027522936	4
GRIP1	1	109	0.009174312	4
CCDC66	1	109	0.009174312	4
LEPR	1	109	0.009174312	4
DNAH8	8	109	0.073394495	4
DNAH9	3	109	0.027522936	4
IQGAP1	2	109	0.018348624	4
BPTF	1	109	0.009174312	4
KDR	2	109	0.018348624	4
UNC13B	3	109	0.027522936	4
IER5	1	109	0.009174312	4
ROS1	3	109	0.027522936	4
DOCK11	1	109	0.009174312	4
SPG11	2	109	0.018348624	4
WNK1	2	109	0.018348624	4
IFNGR1	1	109	0.009174312	4
HOOK3	3	109	0.027522936	4
GRM8	1	109	0.009174312	4
RIMS2	2	109	0.018348624	4
TIGD4	2	109	0.018348624	4
SUPT16H	1	109	0.009174312	4
FMO3	2	109	0.018348624	4
SDAD1	2	109	0.018348624	4
DTL	1	109	0.009174312	4
RBBP8	1	109	0.009174312	4
XRCC6	1	109	0.009174312	4
ZHX1	1	109	0.009174312	4
GOLIM4	1	109	0.009174312	3
MYO3A	4	109	0.036697248	3
SDK1	2	109	0.018348624	3
COL4A5	1	109	0.009174312	3
FER1L6	3	109	0.027522936	3
EIF2AK1	2	109	0.018348624	3
CHD2	4	109	0.036697248	3
SH3KBP1	1	109	0.009174312	3
VPS13C	5	109	0.04587156	3
CDK5RAP1	1	109	0.009174312	3
ATP6V0A4	1	109	0.009174312	3
ATR	1	109	0.009174312	3
SYCP2	2	109	0.018348624	3
SYCP1	2	109	0.018348624	3
SPEN	1	109	0.009174312	3
KIDINS220	2	109	0.018348624	3
LRRN3	1	109	0.009174312	3
PCNX	2	109	0.018348624	3
PRKRIR	1	109	0.009174312	3
HYDIN	1	109	0.009174312	3
IREB2	3	109	0.027522936	3
SETBP1	2	109	0.018348624	3
APOB	2	109	0.018348624	3
PTPRZ1	3	109	0.027522936	3
DIAPH2	2	109	0.018348624	3
TTBK2	3	109	0.027522936	3
SEC24C	2	109	0.018348624	3
NSD1	4	109	0.036697248	3
TXLNB	1	109	0.009174312	3
IL12RB2	1	109	0.009174312	3
ADCY9	1	109	0.009174312	3
SPATA16	2	109	0.018348624	3
GAPVD1	2	109	0.018348624	3
CCDC18	3	109	0.027522936	3
ZNF280D	2	109	0.018348624	3
KIAA1324L	3	109	0.027522936	3
RTN3	1	109	0.009174312	3
NOTCH2	8	109	0.073394495	3
SLC25A14	1	109	0.009174312	3
AGPS	1	109	0.009174312	3
ARFGEF1	2	109	0.018348624	3
CUBN	4	109	0.036697248	3
AGL	3	109	0.027522936	3
ZNF451	1	109	0.009174312	3
IFIH1	2	109	0.018348624	3
ARID2	4	109	0.036697248	3
KIAA1468	1	109	0.009174312	3
UGT2A3	1	109	0.009174312	3
ALCAM	1	109	0.009174312	3
SKIL	2	109	0.018348624	3
ACSM5	2	109	0.018348624	3
FAM120C	2	109	0.018348624	3
OCA2	1	109	0.009174312	3
FBN1	4	109	0.036697248	3
TULP4	2	109	0.018348624	3
SCYL3	2	109	0.018348624	3
LRRFIP2	2	109	0.018348624	3
CARD6	1	109	0.009174312	3
ANLN	1	109	0.009174312	3
ARHGEF12	2	109	0.018348624	3
TANK	1	109	0.009174312	3
RBM5	1	109	0.009174312	3
DOCK2	2	109	0.018348624	3
SLC9A2	1	109	0.009174312	3
ARHGEF38	1	109	0.009174312	3
PPIB	1	109	0.009174312	3
KBTBD8	1	109	0.009174312	3
SERAC1	1	109	0.009174312	3
RFWD2	1	109	0.009174312	3
TG	7	109	0.064220183	3
SLC4A4	3	109	0.027522936	3
A2ML1	1	109	0.009174312	3
CNOT1	3	109	0.027522936	3
ATP1B1	1	109	0.009174312	3
TRIP12	2	109	0.018348624	3
GRIA2	1	109	0.009174312	3
MAML1	1	109	0.009174312	3
TRPM6	2	109	0.018348624	3
TRPM7	2	109	0.018348624	3
TRPM3	2	109	0.018348624	3
GALNT13	1	109	0.009174312	3
CALR3	1	109	0.009174312	3
DICER1	1	109	0.009174312	3
RGS22	2	109	0.018348624	3
DPYD	2	109	0.018348624	3
PLB1	2	109	0.018348624	3
RELN	7	109	0.064220183	3
COPS3	2	109	0.018348624	3
LARS	1	109	0.009174312	3
ST3GAL6	1	109	0.009174312	3
HECTD1	6	109	0.055045872	3
CACNA1D	4	109	0.036697248	3
UBR1	4	109	0.036697248	3
DIS3	2	109	0.018348624	3
OSBPL8	2	109	0.018348624	3
BMS1	1	109	0.009174312	3
SETX	3	109	0.027522936	3
PBRM1	4	109	0.036697248	3
SHC1	1	109	0.009174312	3
EIF3E	2	109	0.018348624	3
ATF7IP	1	109	0.009174312	3
PPP1R3A	1	109	0.009174312	3
TRPS1	2	109	0.018348624	3
ADAM22	2	109	0.018348624	3
PGM1	1	109	0.009174312	3
MOV10L1	2	109	0.018348624	3
NF1	9	144	0.0625	3
ZFYVE26	2	109	0.018348624	3
DDX54	1	109	0.009174312	3
FAM129A	1	109	0.009174312	3
CDKL5	1	109	0.009174312	3
USH2A	6	109	0.055045872	3
LIMCH1	2	109	0.018348624	3
DIAPH1	1	109	0.009174312	3
TNKS	1	109	0.009174312	3
SNX31	1	109	0.009174312	3
C8orf34	1	109	0.009174312	3
LAMA4	5	109	0.04587156	3
RTN4	1	109	0.009174312	3
GALNT8	2	109	0.018348624	3
NIPBL	6	109	0.055045872	3
TTC21B	1	109	0.009174312	3
XPO1	2	109	0.018348624	3
AHCTF1	5	109	0.04587156	3
TDRD6	2	109	0.018348624	3
GRM7	1	109	0.009174312	3
ENPEP	5	109	0.04587156	3
SF3B1	4	109	0.036697248	3
DDHD2	2	109	0.018348624	3
DNAJC13	1	109	0.009174312	3
RNFT1	1	109	0.009174312	3
ZFYVE9	1	109	0.009174312	3
SGCZ	2	109	0.018348624	3
TNRC6A	1	109	0.009174312	3
RBM39	1	109	0.009174312	3
SPAG9	1	109	0.009174312	3
KLHL3	1	109	0.009174312	3
DCHS2	7	109	0.064220183	3
ABCA4	1	109	0.009174312	3
RBBP6	3	109	0.027522936	3
MMS22L	1	109	0.009174312	3
CD96	1	109	0.009174312	3
ITIH2	1	109	0.009174312	3
USP1	1	109	0.009174312	3
STXBP5L	2	109	0.018348624	3
NIN	2	109	0.018348624	3
MYO5A	2	109	0.018348624	3
KDM5A	5	109	0.04587156	3
RNF111	2	109	0.018348624	2
ATP2A1	1	109	0.009174312	2
ITGA2	1	109	0.009174312	2
ITGAL	5	109	0.04587156	2
TMPRSS11B	1	109	0.009174312	2
TMPRSS11F	2	109	0.018348624	2
RLF	1	109	0.009174312	2
CCDC110	1	109	0.009174312	2
ATG4C	2	109	0.018348624	2
RTKN2	1	109	0.009174312	2
NR1D2	2	109	0.018348624	2
MBNL1	1	109	0.009174312	2
OIP5	1	109	0.009174312	2
CLCN1	1	109	0.009174312	2
MYO1D	3	109	0.027522936	2
AKIRIN1	2	109	0.018348624	2
EIF2AK4	2	109	0.018348624	2
GCNT4	1	109	0.009174312	2
SRRM2	4	109	0.036697248	2
CEP120	1	109	0.009174312	2
ARHGAP26	2	109	0.018348624	2
ATG2B	3	109	0.027522936	2
CDC73	1	109	0.009174312	2
AKAP3	1	109	0.009174312	2
ALPK1	1	109	0.009174312	2
PEX1	4	109	0.036697248	2
MECP2	1	109	0.009174312	2
AASDH	1	109	0.009174312	2
GPATCH2	1	109	0.009174312	2
CCDC158	1	109	0.009174312	2
SORBS2	1	109	0.009174312	2
DDX24	1	109	0.009174312	2
GGPS1	2	109	0.018348624	2
SLCO4C1	2	109	0.018348624	2
MANEAL	2	109	0.018348624	2
FRMD5	1	109	0.009174312	2
FRMD6	1	109	0.009174312	2
GNAL	1	109	0.009174312	2
BCAP29	1	109	0.009174312	2
RECK	1	109	0.009174312	2
SPTBN2	3	109	0.027522936	2
ANKFN1	2	109	0.018348624	2
ATP9B	2	109	0.018348624	2
HARS	1	109	0.009174312	2
GNRHR	1	109	0.009174312	2
ACTRT1	1	109	0.009174312	2
ADAM10	4	109	0.036697248	2
CCDC54	1	109	0.009174312	2
MORC3	1	109	0.009174312	2
MORC1	2	109	0.018348624	2
ZNF330	1	109	0.009174312	2
REV3L	1	109	0.009174312	2
LAMB1	1	109	0.009174312	2
ZZZ3	2	109	0.018348624	2
ASTN1	4	109	0.036697248	2
CCDC7	1	109	0.009174312	2
ZNF432	2	109	0.018348624	2
AURKA	1	109	0.009174312	2
KIF27	1	109	0.009174312	2
KIF23	2	109	0.018348624	2
RALGPS1	1	109	0.009174312	2
RSL1D1	2	109	0.018348624	2
PAPD4	2	109	0.018348624	2
DDX60	3	109	0.027522936	2
LRBA	4	109	0.036697248	2
CD276	1	109	0.009174312	2
CCDC38	1	109	0.009174312	2
IL1RAPL2	1	109	0.009174312	2
KYNU	1	109	0.009174312	2
OR2C1	1	109	0.009174312	2
UBAP2	2	109	0.018348624	2
PTPRJ	2	109	0.018348624	2
ABLIM1	1	109	0.009174312	2
KRT10	1	109	0.009174312	2
GIGYF2	4	109	0.036697248	2
PAG1	2	109	0.018348624	2
EPS15	3	109	0.027522936	2
COL11A1	2	109	0.018348624	2
NUP107	1	109	0.009174312	2
MTOR	5	109	0.04587156	2
FAM192A	2	109	0.018348624	2
PPM1B	2	109	0.018348624	2
SFI1	1	109	0.009174312	2
GPD1L	1	109	0.009174312	2
WDR17	2	109	0.018348624	2
ERBB2IP	1	109	0.009174312	2
MTRF1L	1	109	0.009174312	2
NAV3	3	109	0.027522936	2
ARFGEF2	2	109	0.018348624	2
GPR182	2	109	0.018348624	2
CSDE1	3	109	0.027522936	2
ANAPC1	2	109	0.018348624	2
NPHP3	1	109	0.009174312	2
FRRS1	2	109	0.018348624	2
CD48	1	109	0.009174312	2
PRPF8	4	109	0.036697248	2
CDON	1	109	0.009174312	2
OR8D4	1	109	0.009174312	2
PDGFRL	1	109	0.009174312	2
PPA2	1	109	0.009174312	2
MCTP1	3	109	0.027522936	2
DCC	2	109	0.018348624	2
CUL1	2	109	0.018348624	2
TRIM23	2	109	0.018348624	2
HSPA4L	2	109	0.018348624	2
MS4A14	1	109	0.009174312	2
OR1L8	2	109	0.018348624	2
ZNF385B	1	109	0.009174312	2
HHAT	1	109	0.009174312	2
RGS6	1	109	0.009174312	2
AKAP13	3	109	0.027522936	2
USP53	2	109	0.018348624	2
KIF20B	2	109	0.018348624	2
MKI67	3	109	0.027522936	2
PCDH9	2	109	0.018348624	2
BUB1B	2	109	0.018348624	2
NUP210L	1	109	0.009174312	2
KIAA0319	1	109	0.009174312	2
C21orf58	1	109	0.009174312	2
MME	1	109	0.009174312	2
MTMR9	1	109	0.009174312	2
VCPIP1	1	109	0.009174312	2
DEPDC5	3	109	0.027522936	2
SCYL2	1	109	0.009174312	2
STXBP5	1	109	0.009174312	2
PRKCH	1	109	0.009174312	2
SCRIB	3	109	0.027522936	2
FGFR1	2	176	0.011363636	2
B4GALT4	1	109	0.009174312	2
PHKA2	1	109	0.009174312	2
ABCA12	2	109	0.018348624	2
NT5C2	3	109	0.027522936	2
MNS1	1	109	0.009174312	2
CRIM1	2	109	0.018348624	2
NRCAM	1	109	0.009174312	2
CRY1	1	109	0.009174312	2
DDX5	1	109	0.009174312	2
NUP205	2	109	0.018348624	2
HAUS6	1	109	0.009174312	2
CSE1L	1	109	0.009174312	2
COL14A1	1	109	0.009174312	2
USP13	1	109	0.009174312	2
JPH2	1	109	0.009174312	2
DHX29	2	109	0.018348624	2
MYH10	1	109	0.009174312	2
OGT	2	109	0.018348624	2
ARSJ	2	109	0.018348624	2
FUT8	1	109	0.009174312	2
ZNF233	13	109	0.119266055	2
ROCK2	3	109	0.027522936	2
FAM184A	2	109	0.018348624	2
PLCB1	3	109	0.027522936	2
SORT1	1	109	0.009174312	2
ADAD1	1	109	0.009174312	2
COG3	3	109	0.027522936	2
NFAT5	2	109	0.018348624	2
GUCY1A3	2	109	0.018348624	2
MED31	1	109	0.009174312	2
RBM26	3	109	0.027522936	2
AR	1	109	0.009174312	2
PUM2	3	109	0.027522936	2
SPAG17	3	109	0.027522936	2
KRBA2	1	109	0.009174312	2
CNOT2	1	109	0.009174312	2
USP38	5	109	0.04587156	2
MYO6	4	109	0.036697248	2
GCM1	1	109	0.009174312	2
NEO1	2	109	0.018348624	2
EXT1	1	109	0.009174312	2
SNX9	1	109	0.009174312	2
NEIL3	2	109	0.018348624	2
PIWIL3	1	109	0.009174312	2
GKN2	1	109	0.009174312	2
COL5A2	3	109	0.027522936	2
EP300	14	109	0.128440367	2
ATP5F1	2	109	0.018348624	2
MED14	2	109	0.018348624	2
MED15	2	109	0.018348624	2
UBAP2L	1	109	0.009174312	2
GOLGB1	8	109	0.073394495	2
HERC2	2	109	0.018348624	2
CCR8	1	109	0.009174312	2
GSS	1	109	0.009174312	2
KIAA0825	1	109	0.009174312	2
PTPRN2	1	109	0.009174312	2
FMO2	2	109	0.018348624	2
C14orf105	1	109	0.009174312	2
SORL1	3	109	0.027522936	2
NCSTN	3	109	0.027522936	2
CEP152	2	109	0.018348624	2
ORC4	1	109	0.009174312	2
CBLB	1	109	0.009174312	2
CDCA2	2	109	0.018348624	2
SYTL2	2	109	0.018348624	2
